,title,State,rev_id,Prediction,population,DIVISION
0,"Abbeville, Alabama",Alabama,1171163550.0,C,5074296.0,East South Central
1,"Adamsville, Alabama",Alabama,1177621427.0,C,5074296.0,East South Central
2,"Addison, Alabama",Alabama,1168359898.0,C,5074296.0,East South Central
3,"Akron, Alabama",Alabama,1165909508.0,GA,5074296.0,East South Central
4,"Alabaster, Alabama",Alabama,1179139816.0,C,5074296.0,East South Central
5,"Albertville, Alabama",Alabama,1179198677.0,C,5074296.0,East South Central
6,"Alexander City, Alabama",Alabama,1179140073.0,GA,5074296.0,East South Central
7,"Aliceville, Alabama",Alabama,1167792390.0,GA,5074296.0,East South Central
8,"Allgood, Alabama",Alabama,1165909718.0,C,5074296.0,East South Central
9,"Altoona, Alabama",Alabama,1165909823.0,C,5074296.0,East South Central
10,"Andalusia, Alabama",Alabama,1179141586.0,C,5074296.0,East South Central
11,"Anderson, Lauderdale County, Alabama",Alabama,662691565.0,Stub,5074296.0,East South Central
12,"Anniston, Alabama",Alabama,1176049382.0,C,5074296.0,East South Central
13,"Arab, Alabama",Alabama,1171375371.0,C,5074296.0,East South Central
14,"Ardmore, Alabama",Alabama,1176903479.0,GA,5074296.0,East South Central
15,"Argo, Alabama",Alabama,1177623964.0,C,5074296.0,East South Central
16,"Ariton, Alabama",Alabama,1166014478.0,C,5074296.0,East South Central
17,"Arley, Alabama",Alabama,1166014498.0,C,5074296.0,East South Central
18,"Ashford, Alabama",Alabama,1166014593.0,C,5074296.0,East South Central
19,"Ashland, Alabama",Alabama,1174331705.0,C,5074296.0,East South Central
20,"Ashville, Alabama",Alabama,1148844011.0,C,5074296.0,East South Central
21,"Athens, Alabama",Alabama,1175308807.0,C,5074296.0,East South Central
22,"Atmore, Alabama",Alabama,1167926420.0,C,5074296.0,East South Central
23,"Attalla, Alabama",Alabama,1165507856.0,C,5074296.0,East South Central
24,"Auburn, Alabama",Alabama,1179878794.0,C,5074296.0,East South Central
25,"Autaugaville, Alabama",Alabama,1166014815.0,C,5074296.0,East South Central
26,"Avon, Alabama",Alabama,1166014861.0,Start,5074296.0,East South Central
27,"Babbie, Alabama",Alabama,1168820544.0,Start,5074296.0,East South Central
28,"Baileyton, Alabama",Alabama,1166014939.0,C,5074296.0,East South Central
